Year,District,Programme,Stream,Number,Passed,Z-Score
2022,ANURADHAPURA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,
2022,POLONNARUWA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.9909
2022,BADULLA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,
2022,MONARAGALA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,
2022,KEGALLE,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.9286
2022,RATNAPURA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.8706
2022,COLOMBO,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,
2022,GAMPAHA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.6406
2022,KALUTARA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.7783
2022,MATALE,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.6524
2022,KANDY,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,
2022,NUWARA ELIYA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.4296
2022,GALLE,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,
2022,MATARA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,
2022,HAMBANTOTA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.8366
2022,JAFFNA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,
2022,KILINOCHCHI,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,
2022,MANNAR,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.6845
2022,MULLAITIVU,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,
2022,VAVUNIYA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.9934
2022,TRINCOMALEE,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.737
2022,BATTICALOA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.8413
2022,AMPARA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.8169
2022,PUTTALAM,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.6762
2022,KURUNEGALA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,
2022,ANURADHAPURA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.5146
2022,POLONNARUWA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.4283
2022,BADULLA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,
2022,MONARAGALA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.6018
2022,KEGALLE,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,1.8207
2022,RATNAPURA,"MEDICINE (Eastern University, Sri Lanka)",Bio Science,40329.0,25851.0,
2022,COLOMBO,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8772
2022,GAMPAHA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8547
2022,KALUTARA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8995
2022,MATALE,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8604
2022,KANDY,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8509
2022,NUWARA ELIYA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.9025
2022,GALLE,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.9071
2022,MATARA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.9079
2022,HAMBANTOTA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8525
2022,JAFFNA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,KILINOCHCHI,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,MANNAR,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,MULLAITIVU,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,VAVUNIYA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.998
2022,TRINCOMALEE,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.862
2022,BATTICALOA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8601
2022,AMPARA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8566
2022,PUTTALAM,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8496
2022,KURUNEGALA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8596
2022,ANURADHAPURA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8506
2022,POLONNARUWA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.9345
2022,BADULLA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8525
2022,MONARAGALA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8706
2022,KEGALLE,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.851
2022,RATNAPURA,MEDICINE (Rajarata University of Sri Lanka),Bio Science,40329.0,25851.0,1.8509
2022,COLOMBO,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.8894
2022,GAMPAHA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.6816
2022,KALUTARA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.785
2022,MATALE,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.68
2022,KANDY,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.8032
2022,NUWARA ELIYA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.6837
2022,GALLE,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,
2022,MATARA,MEDICINE (Sabaragamuwa University of Sri Lanka),Bio Science,40329.0,25851.0,1.9005
